airline,date_of_journey,source,destination,dep_time,arrival_time,total_stops,additional_info,duration_min,price
Vistara,2019-06-09,Kolkata,Banglore,07:10:00,10:45:00,1,No Info,1655,9397
Goair,2019-06-27,Delhi,Cochin,10:35:00,19:35:00,1,No Info,540,3948
Spicejet,2019-04-24,Kolkata,Banglore,22:20:00,00:40:00,0,No Info,140,3873
Air India,2019-03-21,Delhi,Cochin,17:15:00,19:15:00,2,No Info,1560,8245
Air India,2019-03-01,Banglore,New Delhi,08:50:00,09:25:00,2,No Info,1475,25430
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,04:45:00,1,No Info,710,14231
Air Asia,2019-03-18,Kolkata,Banglore,22:50:00,01:20:00,0,No Info,150,4082
Multiple Carriers,2019-06-24,Delhi,Cochin,15:05:00,01:30:00,2,No Info,625,15965
Spicejet,2019-03-21,Kolkata,Banglore,17:15:00,19:45:00,0,No check-in baggage included,150,3815
Indigo,2019-06-15,Chennai,Kolkata,22:05:00,00:25:00,0,No Info,140,5277
Jet Airways,2019-06-06,Kolkata,Banglore,21:10:00,08:15:00,1,In-flight meal not included,665,10844
Spicejet,2019-05-12,Kolkata,Banglore,15:55:00,21:25:00,1,No Info,330,8844
Air India,2019-06-21,Chennai,Kolkata,11:40:00,13:55:00,0,No Info,135,4667
Indigo,2019-05-21,Delhi,Cochin,06:50:00,12:10:00,1,No Info,320,5530
Spicejet,2019-04-27,Kolkata,Banglore,09:00:00,11:25:00,0,No Info,145,4174
Indigo,2019-03-03,Mumbai,Hyderabad,21:20:00,22:45:00,0,No Info,85,4784
Goair,2019-03-09,Banglore,New Delhi,20:55:00,23:50:00,0,No Info,175,5706
Air India,2019-05-06,Kolkata,Banglore,09:25:00,07:55:00,1,No Info,1350,8366
Indigo,2019-04-03,Banglore,New Delhi,06:05:00,08:50:00,0,No Info,165,4077
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,04:40:00,1,In-flight meal not included,450,8586
Spicejet,2019-06-27,Banglore,New Delhi,21:10:00,00:05:00,0,No check-in baggage included,175,4319
Spicejet,2019-05-27,Banglore,New Delhi,05:55:00,08:35:00,0,No Info,160,3311
Indigo,2019-06-15,Banglore,New Delhi,13:00:00,15:50:00,0,No Info,170,3943
Multiple Carriers,2019-05-15,Delhi,Cochin,15:15:00,01:30:00,1,No Info,615,7670
Jet Airways,2019-06-01,Delhi,Cochin,05:30:00,12:35:00,2,In-flight meal not included,425,13344
Air India,2019-06-03,Banglore,New Delhi,10:00:00,12:45:00,0,No Info,165,6961
Indigo,2019-03-27,Delhi,Cochin,11:55:00,21:20:00,2,No Info,565,6494
Indigo,2019-04-09,Kolkata,Banglore,19:20:00,23:45:00,1,No Info,265,3574
Multiple Carriers,2019-03-06,Delhi,Cochin,09:45:00,16:10:00,1,No Info,385,10276
Jet Airways,2019-06-06,Delhi,Cochin,19:15:00,19:00:00,1,No Info,1425,14714
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,19:10:00,1,In-flight meal not included,1570,9314
Indigo,2019-03-09,Chennai,Kolkata,22:05:00,00:25:00,0,No Info,140,6297
Trujet,2019-03-06,Mumbai,Hyderabad,13:05:00,16:20:00,1,No Info,195,4140
Air India,2019-06-18,Delhi,Cochin,14:05:00,17:55:00,0,No Info,230,5201
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,16:20:00,1,In-flight meal not included,1220,10844
Jet Airways,2019-06-27,Delhi,Cochin,18:20:00,19:00:00,2,No Info,1480,14300
Jet Airways,2019-05-21,Delhi,Cochin,10:00:00,12:35:00,1,In-flight meal not included,1595,12898
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,23:35:00,1,In-flight meal not included,395,13469
Multiple Carriers,2019-05-06,Delhi,Cochin,10:20:00,19:00:00,1,No Info,520,9794
Jet Airways,2019-05-09,Delhi,Cochin,15:00:00,04:25:00,1,In-flight meal not included,805,12373
Jet Airways,2019-04-06,Delhi,Cochin,11:30:00,19:00:00,1,In-flight meal not included,450,5177
Multiple Carriers,2019-03-06,Delhi,Cochin,13:55:00,01:35:00,1,In-flight meal not included,700,15136
Indigo,2019-04-24,Delhi,Cochin,02:00:00,07:45:00,1,No Info,345,5241
Vistara,2019-06-27,Banglore,New Delhi,21:00:00,23:50:00,0,No Info,170,4878
Jet Airways,2019-06-12,Kolkata,Banglore,17:00:00,09:45:00,1,No Info,1005,12692
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,12:00:00,1,In-flight meal not included,1025,10844
Jet Airways,2019-06-12,Kolkata,Banglore,20:25:00,09:45:00,1,In-flight meal not included,800,10539
Indigo,2019-05-24,Mumbai,Hyderabad,21:20:00,22:50:00,0,No Info,90,2437
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,22:35:00,1,No Info,365,14781
Multiple Carriers,2019-05-21,Delhi,Cochin,16:00:00,01:30:00,1,No Info,570,14067
Air India,2019-03-21,Banglore,New Delhi,08:50:00,23:15:00,1,No Info,865,6824
Multiple Carriers,2019-03-03,Delhi,Cochin,09:45:00,16:10:00,1,No Info,385,11265
Multiple Carriers,2019-06-27,Delhi,Cochin,04:55:00,12:35:00,1,No Info,460,10678
Jet Airways,2019-06-18,Mumbai,Hyderabad,02:55:00,04:20:00,0,In-flight meal not included,85,4995
Indigo,2019-05-01,Kolkata,Banglore,06:20:00,10:20:00,1,No Info,240,4226
Indigo,2019-03-27,Delhi,Cochin,02:05:00,07:25:00,1,No Info,320,4744
Jet Airways,2019-06-03,Delhi,Cochin,14:35:00,12:35:00,2,In-flight meal not included,1320,10919
Vistara,2019-06-06,Kolkata,Banglore,20:20:00,23:25:00,1,No Info,1625,9345
Spicejet,2019-06-27,Banglore,New Delhi,05:55:00,08:35:00,0,No Info,160,3625
Vistara,2019-03-15,Delhi,Cochin,06:00:00,09:10:00,0,No Info,190,6111
Spicejet,2019-06-06,Kolkata,Banglore,22:20:00,00:40:00,0,No check-in baggage included,140,3841
Jet Airways,2019-03-06,Banglore,New Delhi,22:50:00,23:00:00,1,No Info,1450,17471
Indigo,2019-05-12,Chennai,Kolkata,14:45:00,17:05:00,0,No Info,140,3858
Air India,2019-05-21,Delhi,Cochin,17:40:00,23:00:00,1,No Info,320,8067
Air India,2019-05-21,Kolkata,Banglore,05:50:00,20:25:00,2,No Info,875,12303
Multiple Carriers,2019-06-03,Delhi,Cochin,06:00:00,12:35:00,1,No Info,395,13259
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,04:45:00,1,No Info,455,13759
Indigo,2019-03-21,Delhi,Cochin,06:40:00,21:20:00,2,No Info,880,6494
Jet Airways,2019-06-18,Mumbai,Hyderabad,19:35:00,21:05:00,0,No Info,90,5678
Spicejet,2019-05-18,Banglore,New Delhi,05:55:00,08:35:00,0,No Info,160,3625
Indigo,2019-05-18,Banglore,New Delhi,08:30:00,11:20:00,0,No Info,170,4823
Indigo,2019-04-01,Delhi,Cochin,20:25:00,01:30:00,1,No Info,305,5073
Indigo,2019-06-15,Delhi,Cochin,06:50:00,12:10:00,1,No Info,320,5298
Jet Airways,2019-06-01,Delhi,Cochin,02:15:00,12:35:00,1,In-flight meal not included,620,10262
Air India,2019-06-15,Delhi,Cochin,08:00:00,19:15:00,1,No Info,675,9929
Air India,2019-06-24,Delhi,Cochin,14:25:00,19:15:00,2,No Info,1730,13381
Indigo,2019-04-27,Banglore,New Delhi,06:05:00,08:50:00,0,No Info,165,4423
Jet Airways,2019-06-15,Delhi,Cochin,07:05:00,12:35:00,1,In-flight meal not included,330,10262
Air India,2019-03-27,Delhi,Cochin,13:05:00,07:40:00,2,No Info,1115,8875
Jet Airways,2019-06-06,Delhi,Cochin,09:40:00,04:25:00,2,In-flight meal not included,1125,10368
Indigo,2019-06-03,Delhi,Cochin,14:25:00,17:40:00,0,No Info,195,6015
Jet Airways,2019-06-15,Delhi,Cochin,02:15:00,12:35:00,1,In-flight meal not included,620,10262
Jet Airways,2019-06-21,Mumbai,Hyderabad,10:20:00,11:50:00,0,No Info,90,8040
Jet Airways,2019-06-06,Mumbai,Hyderabad,02:55:00,04:20:00,0,In-flight meal not included,85,4050
Jet Airways,2019-06-09,Kolkata,Banglore,20:25:00,23:35:00,1,No Info,1630,12692
Jet Airways,2019-03-27,Delhi,Cochin,05:25:00,04:25:00,2,No Info,1380,11664
Jet Airways,2019-05-15,Kolkata,Banglore,06:30:00,19:50:00,1,No Info,800,14781
Air India,2019-04-24,Banglore,New Delhi,13:20:00,16:10:00,0,No Info,170,6121
Air India,2019-03-09,Delhi,Cochin,19:45:00,19:15:00,2,No Info,1410,11701
Vistara,2019-05-12,Chennai,Kolkata,17:45:00,20:05:00,0,No Info,140,11982
Air India,2019-03-24,Kolkata,Banglore,05:55:00,23:15:00,2,No Info,2480,13990
Jet Airways,2019-04-06,Delhi,Cochin,07:05:00,12:35:00,1,In-flight meal not included,330,5406
Air Asia,2019-03-03,Delhi,Cochin,16:45:00,22:15:00,1,No Info,330,13774
Air India,2019-05-09,Delhi,Cochin,10:00:00,19:15:00,1,No Info,555,8372
Indigo,2019-06-21,Kolkata,Banglore,21:25:00,00:05:00,0,No Info,160,4804
Jet Airways,2019-06-27,Delhi,Cochin,20:00:00,04:25:00,2,No Info,505,16263
Jet Airways,2019-05-09,Kolkata,Banglore,08:25:00,09:20:00,1,In-flight meal not included,1495,9663
Jet Airways,2019-05-06,Delhi,Cochin,13:00:00,04:25:00,1,No Info,925,15554
Indigo,2019-03-24,Banglore,New Delhi,01:30:00,04:15:00,0,No Info,165,4238
Spicejet,2019-06-15,Mumbai,Hyderabad,13:15:00,14:45:00,0,No Info,90,2017
Multiple Carriers,2019-05-27,Delhi,Cochin,03:50:00,19:00:00,1,No Info,910,10197
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,04:40:00,1,In-flight meal not included,585,8586
Indigo,2019-05-21,Mumbai,Hyderabad,06:25:00,07:55:00,0,No Info,90,4049
Air Asia,2019-06-01,Delhi,Cochin,20:45:00,07:10:00,1,No Info,625,11410
Jet Airways,2019-05-27,Delhi,Cochin,21:50:00,19:00:00,1,No Info,1270,16079
Air India,2019-05-06,Delhi,Cochin,20:40:00,09:25:00,1,No Info,765,7480
Air India,2019-05-18,Delhi,Cochin,17:40:00,08:15:00,1,No Info,875,8361
Air Asia,2019-06-01,Banglore,New Delhi,23:55:00,02:45:00,0,No Info,170,7120
Goair,2019-05-12,Banglore,New Delhi,20:55:00,23:40:00,0,No Info,165,3419
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,19:45:00,2,In-flight meal not included,1475,8882
Indigo,2019-05-18,Delhi,Cochin,15:00:00,01:30:00,1,No Info,630,7503
Vistara,2019-05-01,Kolkata,Banglore,20:20:00,20:20:00,1,No Info,1440,8610
Multiple Carriers,2019-06-09,Delhi,Cochin,11:35:00,21:00:00,3,No Info,565,15629
Air India,2019-03-03,Delhi,Cochin,17:15:00,19:15:00,2,No Info,1560,13442
Multiple Carriers,2019-05-15,Delhi,Cochin,07:10:00,22:30:00,1,No Info,920,6513
Indigo,2019-04-03,Banglore,New Delhi,20:00:00,22:50:00,0,No Info,170,4823
Air India,2019-03-03,Banglore,New Delhi,19:10:00,10:35:00,2,No Info,925,13355
Air India,2019-05-21,Delhi,Cochin,13:20:00,19:15:00,2,No Info,1795,13276
Indigo,2019-05-15,Kolkata,Banglore,17:35:00,22:15:00,1,No Info,280,5386
Jet Airways,2019-05-18,Kolkata,Banglore,20:25:00,21:05:00,1,No Info,1480,14151
Air India,2019-05-09,Delhi,Cochin,05:10:00,08:00:00,0,No Info,170,5201
Indigo,2019-06-03,Delhi,Cochin,08:35:00,16:10:00,1,No Info,455,6442
Indigo,2019-03-01,Banglore,New Delhi,21:20:00,00:15:00,0,No Info,175,12649
Spicejet,2019-06-12,Kolkata,Banglore,22:20:00,00:40:00,0,No Info,140,3873
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,14:25:00,1,In-flight meal not included,1285,9314
Air India,2019-05-27,Delhi,Cochin,12:55:00,19:15:00,2,No Info,1820,12436
Indigo,2019-06-01,Banglore,New Delhi,20:00:00,22:50:00,0,No Info,170,4823
Air India,2019-04-01,Mumbai,Hyderabad,21:05:00,22:25:00,0,No Info,80,2050
Spicejet,2019-05-15,Kolkata,Banglore,11:15:00,18:30:00,1,No Info,435,8844
Indigo,2019-04-09,Kolkata,Banglore,22:15:00,00:50:00,0,No Info,155,4174
Jet Airways,2019-05-18,Delhi,Cochin,08:00:00,04:25:00,1,In-flight meal not included,1225,12373
Indigo,2019-03-03,Kolkata,Banglore,15:10:00,17:45:00,0,No Info,155,6985
Air India,2019-06-12,Banglore,New Delhi,13:20:00,16:10:00,0,No Info,170,6961
Multiple Carriers,2019-06-12,Delhi,Cochin,07:05:00,22:30:00,1,No Info,925,9646
Spicejet,2019-04-24,Banglore,New Delhi,05:55:00,08:35:00,0,No check-in baggage included,160,3919
Air India,2019-03-24,Banglore,New Delhi,13:20:00,16:10:00,0,No Info,170,7276
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,14:25:00,1,In-flight meal not included,1285,9314
Multiple Carriers,2019-05-18,Delhi,Cochin,10:00:00,21:00:00,1,In-flight meal not included,660,9275
Air India,2019-03-27,Delhi,Cochin,05:55:00,07:40:00,2,No Info,1545,8971
Indigo,2019-04-09,Delhi,Cochin,18:35:00,01:30:00,1,No Info,415,6573
Vistara,2019-05-24,Kolkata,Banglore,20:20:00,20:20:00,1,No Info,1440,9345
Jet Airways,2019-05-24,Kolkata,Banglore,09:35:00,21:05:00,1,No Info,690,14151
Air India,2019-03-27,Delhi,Cochin,08:00:00,19:15:00,1,No Info,675,7199
Jet Airways,2019-05-06,Mumbai,Hyderabad,02:55:00,04:20:00,0,No Info,85,5678
Multiple Carriers,2019-06-15,Delhi,Cochin,15:05:00,01:30:00,2,No Info,625,15965
Air India,2019-06-24,Delhi,Cochin,17:15:00,19:15:00,2,No Info,1560,11989
Jet Airways,2019-04-12,Banglore,New Delhi,06:00:00,08:45:00,0,In-flight meal not included,165,5198
Jet Airways,2019-06-06,Delhi,Cochin,11:30:00,19:00:00,1,In-flight meal not included,450,10262
Jet Airways,2019-05-09,Delhi,Cochin,19:15:00,19:00:00,1,No Info,1425,15554
Jet Airways,2019-05-21,Delhi,Cochin,07:05:00,12:35:00,1,In-flight meal not included,330,12898
Air India,2019-06-06,Delhi,Cochin,10:55:00,07:40:00,2,No Info,1245,11753
Air India,2019-03-06,Chennai,Kolkata,11:40:00,13:55:00,0,No Info,135,9340
Jet Airways,2019-06-27,Delhi,Cochin,13:25:00,19:00:00,2,In-flight meal not included,1775,11150
Indigo,2019-04-27,Kolkata,Banglore,15:15:00,17:45:00,0,No Info,150,4804
Air India,2019-06-27,Delhi,Cochin,12:00:00,19:15:00,2,No Info,435,8603
Indigo,2019-03-01,Banglore,New Delhi,18:25:00,21:20:00,0,No Info,175,12649
Multiple Carriers,2019-05-15,Delhi,Cochin,06:00:00,19:15:00,1,No Info,795,8266
Air India,2019-03-09,Banglore,New Delhi,21:10:00,23:55:00,0,No Info,165,4966
Indigo,2019-06-01,Delhi,Cochin,07:35:00,12:10:00,1,No Info,275,5054
Jet Airways,2019-06-01,Delhi,Cochin,08:00:00,19:00:00,1,No Info,660,14714
Spicejet,2019-04-18,Kolkata,Banglore,17:10:00,19:40:00,0,No Info,150,4174
Air India,2019-05-06,Kolkata,Banglore,16:45:00,12:00:00,2,No Info,1155,14120
Spicejet,2019-06-27,Kolkata,Banglore,09:00:00,11:25:00,0,No check-in baggage included,145,3841
Indigo,2019-05-01,Chennai,Kolkata,14:45:00,17:05:00,0,No Info,140,3597
Indigo,2019-06-18,Banglore,New Delhi,16:55:00,19:55:00,0,No Info,180,4823
Spicejet,2019-04-01,Banglore,New Delhi,21:10:00,00:05:00,0,No Info,175,3625
Air India,2019-03-18,Banglore,New Delhi,00:30:00,08:45:00,1,No Info,495,13859
Spicejet,2019-06-09,Kolkata,Banglore,15:55:00,21:25:00,1,No Info,330,9158
Multiple Carriers,2019-03-06,Delhi,Cochin,07:05:00,21:00:00,1,No Info,835,17267
Jet Airways,2019-05-27,Delhi,Cochin,19:30:00,12:35:00,2,No Info,1025,15129
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,10:05:00,1,No Info,1655,13941
Spicejet,2019-04-15,Kolkata,Banglore,09:00:00,11:25:00,0,No Info,145,4174
Indigo,2019-05-27,Chennai,Kolkata,19:35:00,21:55:00,0,No Info,140,3597
Multiple Carriers,2019-06-09,Delhi,Cochin,11:25:00,19:00:00,1,No Info,455,11200
Indigo,2019-05-18,Kolkata,Banglore,21:00:00,02:15:00,1,No Info,315,6534
Multiple Carriers,2019-03-09,Delhi,Cochin,06:50:00,21:00:00,1,In-flight meal not included,850,14086
Air Asia,2019-04-03,Kolkata,Banglore,22:50:00,01:20:00,0,No Info,150,3807
Indigo,2019-04-24,Delhi,Cochin,05:05:00,12:10:00,1,No Info,425,6171
Jet Airways,2019-06-01,Delhi,Cochin,19:15:00,19:00:00,1,In-flight meal not included,1425,10262
Air India,2019-03-03,Delhi,Cochin,05:55:00,19:15:00,2,No Info,2240,13748
Indigo,2019-06-15,Delhi,Cochin,17:30:00,01:30:00,1,No Info,480,5883
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,10:45:00,1,In-flight meal not included,950,11087
Jet Airways,2019-05-21,Delhi,Cochin,18:15:00,19:00:00,1,No Info,1485,16079
Indigo,2019-06-24,Delhi,Cochin,06:50:00,16:10:00,1,No Info,560,6442
Indigo,2019-06-27,Banglore,New Delhi,08:30:00,11:20:00,0,No Info,170,4823
Jet Airways,2019-06-09,Kolkata,Banglore,10:20:00,17:35:00,1,In-flight meal not included,435,5608
Vistara,2019-05-18,Kolkata,Banglore,07:10:00,22:40:00,1,No Info,930,9187
Indigo,2019-06-21,Chennai,Kolkata,11:35:00,14:00:00,0,No Info,145,3858
Indigo,2019-06-09,Delhi,Cochin,15:00:00,01:30:00,1,No Info,630,6316
Spicejet,2019-06-06,Mumbai,Hyderabad,05:45:00,07:15:00,0,No check-in baggage included,90,2647
Jet Airways,2019-05-15,Kolkata,Banglore,20:25:00,10:55:00,1,No Info,870,14151
Jet Airways,2019-06-24,Delhi,Cochin,11:45:00,04:25:00,2,No Info,1000,13357
Jet Airways,2019-05-18,Kolkata,Banglore,09:35:00,22:05:00,1,In-flight meal not included,750,12384
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,12:00:00,1,In-flight meal not included,1170,9663
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,07:40:00,1,No Info,1200,16736
Indigo,2019-05-09,Banglore,New Delhi,18:55:00,21:50:00,0,No Info,175,4823
Jet Airways,2019-06-06,Delhi,Cochin,21:25:00,19:00:00,2,No Info,1295,13292
Multiple Carriers,2019-05-09,Delhi,Cochin,19:00:00,01:30:00,1,No Info,390,9424
Indigo,2019-05-15,Delhi,Cochin,11:25:00,01:30:00,1,No Info,845,6979
Spicejet,2019-05-09,Banglore,New Delhi,21:10:00,00:05:00,0,No check-in baggage included,175,4319
Spicejet,2019-06-09,Mumbai,Hyderabad,22:45:00,00:15:00,0,No check-in baggage included,90,1965
Indigo,2019-03-15,Chennai,Kolkata,11:35:00,14:00:00,0,No Info,145,6297
Goair,2019-04-03,Delhi,Cochin,07:25:00,13:35:00,1,No Info,370,4106
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,12:00:00,1,No Info,1145,14231
Jet Airways,2019-05-27,Delhi,Cochin,11:40:00,19:00:00,2,In-flight meal not included,440,19644
Jet Airways,2019-05-21,Delhi,Cochin,17:30:00,04:25:00,1,In-flight meal not included,655,12898
Vistara,2019-03-03,Banglore,New Delhi,06:40:00,10:25:00,1,No Info,1665,12476
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,12:00:00,1,No Info,330,14178
Air India,2019-03-24,Kolkata,Banglore,16:45:00,23:15:00,2,No Info,1830,12835
Air Asia,2019-06-03,Delhi,Cochin,07:55:00,22:25:00,1,No Info,870,8759
Jet Airways,2019-06-24,Delhi,Cochin,05:30:00,12:35:00,2,No Info,425,14441
Indigo,2019-06-01,Mumbai,Hyderabad,21:20:00,22:50:00,0,No Info,90,2227
Indigo,2019-03-12,Kolkata,Banglore,05:30:00,08:20:00,0,No Info,170,4148
Multiple Carriers,2019-06-27,Delhi,Cochin,06:00:00,19:00:00,1,In-flight meal not included,780,10791
Air India,2019-03-01,Banglore,New Delhi,06:10:00,08:55:00,0,No Info,165,15676
Spicejet,2019-06-27,Mumbai,Hyderabad,22:45:00,00:15:00,0,No check-in baggage included,90,1965
Jet Airways,2019-05-21,Kolkata,Banglore,18:55:00,12:00:00,1,In-flight meal not included,1025,10844
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,10:55:00,1,No Info,1075,12121
Air India,2019-05-09,Delhi,Cochin,13:00:00,19:15:00,1,No Info,375,8372
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,16:20:00,1,No Info,590,13339
Jet Airways,2019-06-15,Delhi,Cochin,09:25:00,04:25:00,2,No Info,1140,13882
Multiple Carriers,2019-03-09,Delhi,Cochin,16:00:00,01:35:00,1,In-flight meal not included,575,14086
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,23:25:00,1,No Info,1015,13339
Jet Airways,2019-05-09,Delhi,Cochin,10:00:00,12:35:00,1,In-flight meal not included,1595,12373
Air India,2019-06-21,Delhi,Cochin,18:05:00,21:10:00,0,No Info,185,5411
Jet Airways,2019-06-12,Delhi,Cochin,09:40:00,19:00:00,2,In-flight meal not included,560,10368
Air India,2019-05-15,Delhi,Cochin,05:00:00,07:40:00,2,No Info,1600,11281
Air Asia,2019-03-24,Kolkata,Banglore,07:35:00,22:55:00,1,No Info,920,6785
Jet Airways,2019-06-09,Banglore,New Delhi,11:10:00,14:05:00,0,No Info,175,8016
Spicejet,2019-05-27,Banglore,New Delhi,21:10:00,00:05:00,0,No check-in baggage included,175,3257
Indigo,2019-04-09,Banglore,New Delhi,07:10:00,10:05:00,0,No Info,175,4823
Jet Airways,2019-06-09,Delhi,Cochin,22:50:00,19:00:00,1,No Info,1210,14714
Multiple Carriers,2019-05-27,Delhi,Cochin,11:25:00,19:00:00,1,No Info,455,9103
Jet Airways,2019-06-01,Mumbai,Hyderabad,10:20:00,11:50:00,0,No Info,90,5678
Indigo,2019-05-09,Delhi,Cochin,10:35:00,01:30:00,1,No Info,895,8330
Indigo,2019-03-03,Banglore,New Delhi,07:10:00,10:05:00,0,No Info,175,7648
Multiple Carriers,2019-05-27,Delhi,Cochin,08:45:00,19:00:00,1,No Info,615,10529
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,23:35:00,1,No Info,425,12681
Indigo,2019-04-03,Kolkata,Banglore,06:15:00,10:30:00,1,No Info,255,4226
Air India,2019-04-01,Kolkata,Banglore,16:50:00,18:30:00,1,No Info,1540,7893
Indigo,2019-03-03,Banglore,New Delhi,07:10:00,10:05:00,0,No Info,175,6860
Jet Airways,2019-05-12,Banglore,New Delhi,15:15:00,18:10:00,0,No Info,175,7229
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,19:50:00,1,In-flight meal not included,845,10844
Air India,2019-05-01,Kolkata,Banglore,10:00:00,05:25:00,2,No Info,1165,13899
Jet Airways,2019-03-03,Banglore,New Delhi,11:40:00,00:45:00,1,In-flight meal not included,785,13502
Jet Airways,2019-05-24,Kolkata,Banglore,09:35:00,14:25:00,1,No Info,1730,12121
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,18:15:00,1,No Info,705,14781
Jet Airways,2019-04-01,Banglore,New Delhi,19:50:00,22:50:00,0,In-flight meal not included,180,4544
Jet Airways,2019-05-01,Kolkata,Banglore,21:10:00,04:40:00,1,In-flight meal not included,450,10844
Jet Airways,2019-06-09,Banglore,New Delhi,15:15:00,18:10:00,0,No Info,175,8016
Air India,2019-03-06,Delhi,Cochin,05:00:00,19:15:00,2,No Info,2295,10283
Air India,2019-06-03,Delhi,Cochin,10:00:00,19:15:00,1,No Info,555,10979
Air India,2019-06-24,Delhi,Cochin,03:50:00,19:15:00,1,No Info,925,8669
Multiple Carriers,2019-05-15,Delhi,Cochin,10:35:00,19:15:00,1,No Info,520,7575
Jet Airways,2019-06-06,Delhi,Cochin,13:00:00,19:00:00,1,In-flight meal not included,360,10262
Indigo,2019-06-12,Kolkata,Banglore,17:15:00,19:50:00,0,No Info,155,4804
Air India,2019-06-06,Delhi,Cochin,07:00:00,19:15:00,1,No Info,735,8669
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,18:15:00,1,No Info,1265,14571
Multiple Carriers,2019-03-27,Delhi,Cochin,06:00:00,15:30:00,1,No Info,570,7845
Vistara,2019-05-21,Banglore,New Delhi,17:00:00,19:35:00,0,No Info,155,4878
Air India,2019-06-15,Delhi,Cochin,22:00:00,19:15:00,2,No Info,1275,10441
Spicejet,2019-04-01,Kolkata,Banglore,09:00:00,11:25:00,0,No Info,145,3873
Spicejet,2019-06-18,Banglore,New Delhi,21:10:00,00:05:00,0,No Info,175,3971
Multiple Carriers,2019-06-15,Delhi,Cochin,13:00:00,01:30:00,1,No Info,750,7198
Multiple Carriers,2019-03-27,Delhi,Cochin,19:00:00,01:35:00,1,No Info,395,7845
Spicejet,2019-04-18,Banglore,New Delhi,05:55:00,08:35:00,0,No check-in baggage included,160,4319
Vistara,2019-03-21,Chennai,Kolkata,07:05:00,09:20:00,0,No Info,135,3739
Indigo,2019-03-18,Kolkata,Banglore,10:10:00,12:55:00,0,No Info,165,4462
Jet Airways,2019-06-03,Delhi,Cochin,13:00:00,19:00:00,1,In-flight meal not included,360,10262
Goair,2019-05-12,Kolkata,Banglore,16:40:00,00:15:00,1,No Info,455,8855
Multiple Carriers,2019-06-27,Delhi,Cochin,18:00:00,01:30:00,1,No Info,450,7198
Multiple Carriers,2019-03-09,Delhi,Cochin,04:00:00,12:55:00,1,No Info,535,16259
Spicejet,2019-05-27,Delhi,Cochin,06:05:00,11:20:00,1,No Info,315,6749
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,14:25:00,1,No Info,1080,11467
Goair,2019-06-09,Kolkata,Banglore,16:40:00,00:15:00,1,No Info,455,9495
Vistara,2019-06-21,Banglore,New Delhi,21:00:00,23:50:00,0,No Info,170,5613
Jet Airways,2019-06-24,Delhi,Cochin,19:15:00,04:25:00,1,In-flight meal not included,550,10262
Goair,2019-06-27,Banglore,New Delhi,11:40:00,14:30:00,0,No Info,170,3898
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,12:00:00,1,No Info,975,14231
Jet Airways,2019-04-09,Delhi,Cochin,22:50:00,12:35:00,1,No Info,825,11822
Jet Airways,2019-03-09,Delhi,Cochin,13:45:00,04:25:00,2,In-flight meal not included,880,15129
Air India,2019-03-24,Mumbai,Hyderabad,15:00:00,16:25:00,0,No Info,85,2050
Air India,2019-05-01,Kolkata,Banglore,09:25:00,13:45:00,2,No Info,1700,16372
Air India,2019-05-09,Delhi,Cochin,05:15:00,06:50:00,1,No Info,1535,6587
Multiple Carriers,2019-06-06,Delhi,Cochin,06:00:00,21:00:00,1,No Info,900,7005
Indigo,2019-06-27,Delhi,Cochin,21:50:00,03:35:00,1,No Info,345,5775
Indigo,2019-06-18,Banglore,New Delhi,08:30:00,11:20:00,0,No Info,170,4823
Jet Airways,2019-03-21,Delhi,Cochin,17:30:00,04:25:00,1,No Info,655,12557
Indigo,2019-03-03,Mumbai,Hyderabad,20:05:00,21:35:00,0,No Info,90,5232
Jet Airways,2019-06-27,Delhi,Cochin,19:10:00,12:35:00,2,No Info,1045,12819
